,station,weight,latitude,longitude,elevation,label
6940,AYW00090001,38.0,-90.0,0.0,-999.9,5579.0
10403,AYW00068201,13.0,-80.0167,-119.5333,1543.2,331.0
23779,AYW00077401,3.0,-79.4667,40.5833,3505.2,8316.0
20510,AYW00067601,3.0,-78.2,-162.25,32.0,3895.0
20508,AY000896640,41.0,-77.8833,166.7333,24.1,5467.0
3517,AYW00057401,4.0,-77.7333,-41.1167,43.3,5579.0
17149,AYW00057801,3.0,-75.9167,-83.9167,54.3,9644.0
20509,AYW00057701,3.0,-75.2333,-77.1667,421.2,5654.0
10404,AYW00087701,7.0,-72.3,170.2167,5.2,5467.0
13774,AY000890020,13.0,-70.667,-8.25,50.0,5579.0
17148,AY000089571,44.0,-68.583,77.95,13.0,8316.0
3515,AY000089564,58.0,-67.6,62.867,16.0,8316.0
20506,AY000089611,38.0,-66.283,110.517,41.0,3715.0
211,AYW00086101,7.0,-66.2667,110.5667,12.2,3715.0
6939,AY000890550,31.0,-64.233,-56.717,198.0,5579.0
3516,AY000889630,39.0,-63.4,-56.983,24.0,5579.0
20507,AY000889680,46.0,-60.733,-44.733,8.0,5579.0
14383,CI000085934,1.0,-53.0,-70.967,37.0,5654.0
24531,NZ000939450,62.0,-52.55,169.167,19.0,5467.0
23578,AR000087925,48.0,-51.617,-69.283,19.0,5654.0
14679,SF000068994,54.0,-46.883,37.867,21.0,8316.0
4284,NZ000093844,64.0,-46.417,168.333,2.0,5467.0
4110,CI000085874,2.0,-45.917,-71.7,525.0,5654.0
3327,AR000087860,49.0,-45.783,-67.5,58.0,5654.0
24530,NZ000937470,55.0,-44.517,169.9,488.0,5467.0
17900,NZ000939870,48.0,-43.95,-176.567,49.0,3895.0
17138,ASN00094041,56.0,-43.6578,146.2711,146.5,9342.0
10396,ASN00094010,56.0,-43.4892,147.1453,55.0,9342.0
6927,ASN00094198,16.0,-43.4886,147.1444,59.7,9342.0
20501,ASN00097007,4.0,-43.4297,146.1597,6.0,9342.0
17137,ASN00094027,31.0,-43.4144,146.8731,35.0,9342.0
13765,ASN00094020,23.0,-43.3167,147.0075,17.0,9342.0
13766,ASN00094075,12.0,-43.25,148.0,239.9,5467.0
